theme,literature,number,chosen,difficulty
Рух з постійною швидкістю. Графіки. Елементарні задачі на рух зі змінною швидкістю. Рух зі зв’язками,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",1.2.5,True,1
Рух з постійною швидкістю. Графіки. Елементарні задачі на рух зі змінною швидкістю. Рух зі зв’язками,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",1.1.5,True,2
Рух з постійною швидкістю. Графіки. Елементарні задачі на рух зі змінною швидкістю. Рух зі зв’язками,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",1.1.9,True,2
Рух з постійною швидкістю. Графіки. Елементарні задачі на рух зі змінною швидкістю. Рух зі зв’язками,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",1.1.10,True,2
Рух з постійною швидкістю. Графіки. Елементарні задачі на рух зі змінною швидкістю. Рух зі зв’язками,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",1.1.18,True,2
Рух з постійною швидкістю. Графіки. Елементарні задачі на рух зі змінною швидкістю. Рух зі зв’язками,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",1.2.6,True,2
Відносна швидкість. Перетворення Галілея,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",1.4.3,False,
Відносна швидкість. Перетворення Галілея,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",1.4.5,False,
Відносна швидкість. Перетворення Галілея,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",1.4.8,False,
Відносна швидкість. Перетворення Галілея,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",1.4.9,False,
Відносна швидкість. Перетворення Галілея,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",1.4.10,False,
Відносна швидкість. Перетворення Галілея,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",1.4.11,False,
Відносна швидкість. Перетворення Галілея,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",1.4.12,False,
Відносна швидкість. Перетворення Галілея,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",1.4.16,False,
Відносна швидкість. Перетворення Галілея,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",1.4.1,True,0
Відносна швидкість. Перетворення Галілея,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",1.4.2,True,0
Відносна швидкість. Перетворення Галілея,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",1.4.4,True,0
Відносна швидкість. Перетворення Галілея,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",1.4.7,True,1
Відносна швидкість. Перетворення Галілея,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",1.4.13,True,1
Відносна швидкість. Перетворення Галілея,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",1.4.17,True,1
Відносна швидкість. Перетворення Галілея,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",1.4.6,True,2
Відносна швидкість. Перетворення Галілея,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",1.4.14,True,2
Відносна швидкість. Перетворення Галілея,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",1.4.15,True,2
Відносна швидкість. Перетворення Галілея,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",1.4.18,True,3
Закони Ньютона. Сили,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.1.1,False,
Закони Ньютона. Сили,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.1.2,False,
Закони Ньютона. Сили,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.1.7,False,
Закони Ньютона. Сили,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.1.8,False,
Закони Ньютона. Сили,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.1.10,False,
Закони Ньютона. Сили,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.1.12,False,
Закони Ньютона. Сили,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.1.14,False,
Закони Ньютона. Сили,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.1.15,False,
Закони Ньютона. Сили,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.1.16,False,
Закони Ньютона. Сили,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.1.17,False,
Закони Ньютона. Сили,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.1.21,False,
Закони Ньютона. Сили,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.1.23,False,
Закони Ньютона. Сили,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.1.25,False,
Закони Ньютона. Сили,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.1.28,False,
Закони Ньютона. Сили,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.1.29,False,
Закони Ньютона. Сили,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.1.30,False,
Закони Ньютона. Сили,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.1.32,False,
Закони Ньютона. Сили,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.1.33,False,
Закони Ньютона. Сили,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.1.34,False,
Закони Ньютона. Сили,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.1.35,False,
Закони Ньютона. Сили,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.1.38,False,
Закони Ньютона. Сили,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.1.39,False,
Закони Ньютона. Сили,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.1.41,False,
Закони Ньютона. Сили,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.1.42,False,
Закони Ньютона. Сили,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.1.43,False,
Закони Ньютона. Сили,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.1.46,False,
Закони Ньютона. Сили,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.1.48,False,
Закони Ньютона. Сили,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.1.53,False,
Закони Ньютона. Сили,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.1.54,False,
Закони Ньютона. Сили,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.1.55,False,
Закони Ньютона. Сили,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.1.60,False,
Закони Ньютона. Сили,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.1.62,False,
Закони Ньютона. Сили,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.1.63,False,
Закони Ньютона. Сили,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.1.65,False,
Закони Ньютона. Сили,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.1.66,False,
Закони Ньютона. Сили,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.1.3,True,0
Закони Ньютона. Сили,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.1.5,True,0
Закони Ньютона. Сили,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.1.6,True,0
Закони Ньютона. Сили,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.1.11,True,0
Закони Ньютона. Сили,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.1.22,True,0
Закони Ньютона. Сили,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.1.37,True,0
Закони Ньютона. Сили,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.1.59,True,0
Закони Ньютона. Сили,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.1.9,True,1
Закони Ньютона. Сили,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.1.13,True,1
Закони Ньютона. Сили,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.1.24,True,1
Закони Ньютона. Сили,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.1.36,True,1
Закони Ньютона. Сили,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.1.40,True,1
Закони Ньютона. Сили,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.1.61,True,1
Закони Ньютона. Сили,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.1.64,True,1
Закони Ньютона. Сили,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.1.31,True,2
Закони Ньютона. Сили,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.1.44,True,2
Закони Ньютона. Сили,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.1.45,True,2
Закони Ньютона. Сили,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.1.49,True,2
Закони Ньютона. Сили,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.1.67,True,2
Статика,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.8.2,False,
Статика,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.8.5,False,
Статика,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.8.7,False,
Статика,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.8.8,False,
Статика,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.8.9,False,
Статика,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.8.11,False,
Статика,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.8.13,False,
Статика,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.8.15,False,
Статика,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.8.16,False,
Статика,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.8.18,False,
Статика,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.8.20,False,
Статика,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.8.24,False,
Статика,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.8.26,False,
Статика,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.8.29,False,
Статика,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.8.30,False,
Статика,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.8.31,False,
Статика,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.8.32,False,
Статика,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.8.34,False,
Статика,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.8.35,False,
Статика,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.8.36,False,
Статика,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.8.38,False,
Статика,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.8.39,False,
Статика,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.8.40,False,
Статика,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.8.41,False,
Статика,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.8.43,False,
Статика,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.8.1,True,0
Статика,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.8.4,True,0
Статика,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.8.6,True,0
Статика,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.8.10,True,0
Статика,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.8.19,True,0
Статика,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.8.21,True,0
Статика,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.8.27,True,0
Статика,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.8.12,True,1
Статика,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.8.14,True,1
Статика,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.8.22,True,1
Статика,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.8.23,True,1
Статика,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.8.37,True,1
Статика,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.8.25,True,2
Статика,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.8.28,True,2
Статика,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.8.33,True,2
Статика,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.8.44,True,2
Статика,"Задачи по физике И. И. Воробьев, П. И. Зубков, Г. А. Кутузова, О. Я. Савченко, А. М. Трубачев, В. Г. Харитонов",2.8.17,True,3
